rating,title,text,asin,user_id,timestamp
5.0,Neon pink.,"Nice formula, smooth application with no pooling or shink back. I used three coats, which is pretty standard for me. I'm not sure you could get away with two as I did have a bit of streaking. ( Picture doesn't do the color justice, it's much brighter in person. )",B00JQRPB9I,AFH5GZTYBKKGZ7SB45FUFLNWMUFQ,2015-05-09 22:04:41.000
5.0,Godd experience,Great product. It came when  expected.,B00QHB48M2,AFGLKF5GMQ3CYUBB2KFCODKBOEYA,2017-06-01 01:04:59.000
5.0,Love This..made my mom's day,My 90 year old mother's favorite fragrance.,B01IAFGDYS,AFTDHU6IXXYGCEJ6JUAI7LFD3JMA,2019-06-24 16:14:04.340
1.0,Review,Just not worth it,B01DX9HUP2,AGIEEQAKFGKN7JH4LQKRWTCCMXGA,2017-06-15 21:07:17.278
5.0,Battery will not stay charged (Rescinding),The Battery life on this product has always been poor. But now i only get one use out of it before its on on low battery again. (i have updated this to 5 star review becasue they proactivly reached out to me to send me a brand new one and no cost to me. Any compnay that is willing to fix a mistake has my vote),B07W11NLFS,AFNEEMO6DSJJTMBCIF3SCXUQBH2A,2020-01-27 14:58:37.959
1.0,There are better options.,When it came to me one of the shadows was broken. Powder was everywhere on all of the shadows for the price it is ok. If you are just looking for a cheap inexpensive palette I wouldn't get this one. There are better options.,B01JYIC6O6,AE3PKPRI5FJQHJNRMEGUEGJEEJWQ,2016-09-17 01:18:25.000
4.0,Good for testing child,"Purpose: teething child<br />Overall: child likes it, but does not vibrate as i thought i had read in product description/or perhaps another person's review.<br />Pros: child likes gnawing on it<br />Cons: none",B001UZ31SC,AG423UTANKYYT46JPWCAMFBBNX6Q,2015-12-02 22:26:46.000
2.0,Look nice but don’t stay on.,They look nice but do not stay on. They have no teeth and aren’t tight/strong enough.,B072C4S5T3,AGBDVLLBGVE22BJUAJHNOTWKL2JA,2020-12-06 16:14:33.006
5.0,Good,Good,B087CFV1CM,AGOIPKBT2RFDKBMQBGCIRQ3WCKXA,2020-09-19 00:59:47.716
5.0,Works great,Works great,B07T96KT58,AFMLV3GPCJDESAGIWYY46SIP4REA,2020-01-22 15:26:14.495
5.0,Great hair clips!,Great hair clips. Stay in and work well. I can’t keep up with tiny clips too well. So glad to get lots of them.,B074TCHT5B,AFLZIWVOACIHBNQL7HNI6WWQFWDA,2021-04-29 19:30:41.152
2.0,They are small,"They are very very small. You definitely have to stretch them out to fit a normal size head. So if you have a larger head this definitely isn't the product for you, good for baby dolls",B00Y3DF9X8,AF664UBOXRUEJJ56KJZVT4FR45CQ,2017-01-01 11:04:57.000
5.0,... the box to look at it and it's a great case. Its good quality and it's huge,I bought this to donate to a women's shelter but opened the box to look at it and it's a great case. Its good quality and it's huge. Thinking of getting one for my daughter.,B075SJ3NS6,AEFAYJCG5DHZPN6HGNKHHVDCWP2A,2017-12-12 03:47:43.543
5.0,Five Stars,Works well.,B0171UQIUW,AGDXD3SCIFKH2PS7UFAS6LFF53QA,2016-06-12 23:13:20.000
5.0,Fake nails,Live the color,B0813SG24P,AHGDZORCMSZZ442PKJR4Z4E67MEQ,2019-12-05 22:47:37.192
5.0,I love this stuff,"I love this stuff! I actually use it as a nighttime moisturizer and I don't rinse it off. Doesn't make me break out, and my face is fresh and super soft in the morning.",B071FRS5XP,AEUCDPM27YKVJ27QY5AS3SLKPDLQ,2018-01-11 15:31:11.330
5.0,Great Hair Shampoo!,"Has a nice citrus/grapefruit scent. It cleans well without stripping the hair it encourages hair growth and cuts down on the frizziness/dryness.  Recommend, we will buy it again.",B00DPNKDR4,AEVSMXW26WGULJHIMXMRZBE62ODQ,2021-02-12 07:02:18.788
5.0,Soothing cleanse,"Lovely light scent, creamy wash that doesn’t get too sudsy, noticed pleasant results after one use. Nice on the rest of body, too, if I’m in a hurry. Really like the twist to open top.",B082QWWXV6,AF756XNJR5A6J22AMXJ22RED3W6A,2021-06-18 15:33:23.122
5.0,Love Love love,"I bought this at the same time as I bought the Mudder 3 piece donut bun maker and I highly recommend this one over that brand,  especially if you have long hair.  Because there are multiple pieces, I've done several styles that are fun.  I even use all 4 to make quadrant buns overnight and take them out in the am for beautiful curls.",B072Q1752Z,AGXDNCGEHIUG6BX5DY4Z7GU7RSRQ,2017-10-09 12:42:48.617
5.0,Awesome for your money,I really had no dislikes. The product even came with eye lashes which was perfect because I used this for a costume party❤️ Loved and supper comfy totally expected something cheaper in material as well and for the price the hair seemed so real! Would definitely buy again just to wear out❤️❤️❤️👍🏼,B08DLHNTW4,AGPTBN4KZDRXTEZLQAWDWAY74D6Q,2020-10-01 01:46:52.253
4.0,Four Stars,Like it,B06XJ1VL6F,AFSNAILAEWUZXBYOVGE6FNRXZW7Q,2018-06-03 17:17:14.594
1.0,One Star,Brooke easy,B01195J43I,AEA75V2E3HAOKQWNPG2LDTZL66TQ,2016-05-16 11:13:11.000
5.0,Amazing!!,This removed the crud in just a matter of minutes.  I love the feel of smooth teeth.,B08L5KN7X4,AGHYMLLR4YGRFXAMX7SJD2HBRT2Q,2021-03-24 04:27:21.985
1.0,Broken and I'm covered in nail polish and glass.,They were broken! And no option to replace or return since it's flammable. I want a refund!,B01LBESKBO,AHQUAFILXY6UTYB57D6DUSNGJXOA,2018-11-23 23:04:45.354
5.0,Easiest way to get the ears to gauge up,Easiest way to get the ears to gauge up. Just massage your ears with this and then try (of the next size up) a rounded double flared plug or a silicone plug. Keeps ears clean too.,B005BZQHEC,AGDVR4NUY2WYVBYJLBBMM5QVZJMA,2013-08-12 05:46:55.000
1.0,SMH,Not for me,B07NZX87MZ,AH2C72PYEE3AOFFD336H6EZ42HFQ,2022-04-30 17:51:06.792
5.0,Good buy,"Received my order ahead of time.  One bulb was broken inside the package but they replaced it promptly and sent an extra. I love my lamp. I do wish the cages for the bulbs stayed on better, a longer cord maybe. But overall for the money it is great. Very happy.",B005EUEK4S,AG7J6TEDP5JYBLZPOX3EHPIPY2CQ,2019-02-15 16:52:08.912
5.0,GREAT LONG LASTING SMELL,best cologne to use! lasts a long time and my friends love it!,B0787F171K,AE7O54LTPM64F2DF4RKVMG6IHKMQ,2021-01-28 22:00:28.672
1.0,Save your money!,Not worth the price.  Doesn't last long. Slips when you sweat,B07W39SF2Z,AEFZLFHGA6WGFONMBOOE3SRG4VJQ,2021-04-22 21:47:58.510
5.0,"Love, Love,Love","Easy to apply, lightweight, no sting or burn. Looks beautiful 😍",B083B88DT7,AG7MGJMKGUAOJ2KRWZSQ7SFYNZVQ,2020-04-24 02:22:35.111
5.0,Five Stars,Very Good!!,B018KZI378,AGVYSUIVO55MTQSSJAEFY4MYHQUQ,2017-02-22 17:17:32.000
5.0,Good product,Very good product for teenagers pimples,B077DWJ4H5,AG5SH737GKMPW756N2U6EHGEA33Q,2019-12-16 22:42:52.867
2.0,Looks pretty but,"Kept falling as soon as I stick them on,  the back of the nails is not sticking to the stickers so they kept falling all day !",B0B58R52CT,AEDAALFC5EUF63EAD7IL7GUXF64A,2022-09-27 00:04:40.548
1.0,Should have returned!,The product goes in very thick and just sits on your skin!,B0B23TGQWC,AGDCHQSZKYFOY6ULCKHWFTNQO7DA,2022-08-08 17:25:08.733
5.0,wonderful my husband loves,wonderful  my husband loves it,B003O4UZQI,AG3SJWRHIFJJC2AUE6AJWHLYTIMA,2015-04-04 15:51:18.000
1.0,horrible bangs,bangs don't look anything like this when you put it on,B082XRCGM4,AH2JN4ZJKJTXM5RE33GOHFPKGKJA,2021-05-19 07:34:52.012
